,start_station_name,end_station_name,Number of Trips
49097,Wells St & Concord Ln,Michigan Ave & Lake St,2
50883,Western Ave & Fillmore St,Western Ave & 21st St,2
49055,Wells St & Concord Ln,Halsted St & 21st St,2
8533,Clark St & Armitage Ave,Western Ave & Winnebago Ave,2
49067,Wells St & Concord Ln,LaSalle St & Washington St,2
8542,Clark St & Berwyn Ave,Benson Ave & Church St,2
8543,Clark St & Berwyn Ave,Bissell St & Armitage Ave,2
8547,Clark St & Berwyn Ave,Broadway & Belmont Ave,2
4529,Buckingham Fountain,Sedgwick St & Webster Ave,2
4525,Buckingham Fountain,Rush St & Cedar St,2
4524,Buckingham Fountain,Ritchie Ct & Banks St,2
4522,Buckingham Fountain,Pine Grove Ave & Waveland Ave,2
8563,Clark St & Berwyn Ave,Clarendon Ave & Junior Ter,2
8564,Clark St & Berwyn Ave,Clarendon Ave & Leland Ave,2
4521,Buckingham Fountain,Peoria St & Jackson Blvd,2
8567,Clark St & Berwyn Ave,Clark St & Columbia Ave,2
8577,Clark St & Berwyn Ave,Clark St & Wellington Ave,2
4535,Buckingham Fountain,State St & 19th St,2
8581,Clark St & Berwyn Ave,Damen Ave & Foster Ave,2
49052,Wells St & Concord Ln,Green St & Randolph St*,2
8585,Clark St & Berwyn Ave,DuSable Lake Shore Dr & Belmont Ave,2
8587,Clark St & Berwyn Ave,DuSable Lake Shore Dr & North Blvd,2
4517,Buckingham Fountain,Morgan St & Lake St*,2
8591,Clark St & Berwyn Ave,Halsted St & Roscoe St,2
8594,Clark St & Berwyn Ave,Kedzie Ave & Foster Ave,2
4515,Buckingham Fountain,Milwaukee Ave & Grand Ave,2
49046,Wells St & Concord Ln,Franklin St & Adams St (Temp),2
49045,Wells St & Concord Ln,Fort Dearborn Dr & 31st St,2
8599,Clark St & Berwyn Ave,Leavitt St & Division St,2
8600,Clark St & Berwyn Ave,Leavitt St & Lawrence Ave,2
8602,Clark St & Berwyn Ave,Lincoln Ave & Belmont Ave,2
8529,Clark St & Armitage Ave,Wells St & Polk St,2
8527,Clark St & Armitage Ave,Wells St & Hubbard St,2
49096,Wells St & Concord Ln,Michigan Ave & Jackson Blvd,2
4569,Budlong Woods Library,Clark St & Winnemac Ave,2
8422,Clark St & Armitage Ave,Kingsbury St & Kinzie St,2
8425,Clark St & Armitage Ave,LaSalle St & Adams St,2
8427,Clark St & Armitage Ave,LaSalle St & Jackson Blvd,2
4580,Budlong Woods Library,Sheridan Rd & Columbia Ave,2
49089,Wells St & Concord Ln,Logan Blvd & Elston Ave,2
4577,Budlong Woods Library,Lincoln Ave & Winona St,2
4575,Budlong Woods Library,Lincoln Ave & Balmoral Ave,2
8448,Clark St & Armitage Ave,McCormick Place,2
8450,Clark St & Armitage Ave,Michigan Ave & Jackson Blvd,2
4574,Budlong Woods Library,Lakefront Trail & Bryn Mawr Ave,2
50861,Western Ave & Fillmore St,Laflin St & Cullerton St,2
8468,Clark St & Armitage Ave,Orleans St & Elm St,2
8470,Clark St & Armitage Ave,Paulina Ave & North Ave,2
49081,Wells St & Concord Ln,Leavitt St & Chicago Ave,2
4536,Buckingham Fountain,State St & Chicago Ave,2
49080,Wells St & Concord Ln,Leavitt St & Belmont Ave,2
50864,Western Ave & Fillmore St,Loomis St & Lexington St,2
50865,Western Ave & Fillmore St,MLK Jr Dr & 29th St,2
49078,Wells St & Concord Ln,Leavitt St & Addison St,2
8488,Clark St & Armitage Ave,Shedd Aquarium,2
50868,Western Ave & Fillmore St,Morgan St & Polk St,2
50873,Western Ave & Fillmore St,Racine Ave & Congress Pkwy,2
4554,Buckingham Fountain,Wells St & 19th St,2
8508,Clark St & Armitage Ave,St. Louis Ave & Fullerton Ave,2
4550,Buckingham Fountain,Wabash Ave & Cermak Rd,2
4543,Buckingham Fountain,Stockton Dr & Wrightwood Ave,2
8519,Clark St & Armitage Ave,Wabash Ave & Adams St,2
4537,Buckingham Fountain,State St & Harrison St,2
4439,Buckingham Fountain,Clark St & Ida B Wells Dr,2
8987,Clark St & Drummond Pl,Clinton St & Washington Blvd,2
8990,Clark St & Drummond Pl,Damen Ave & Clybourn Ave,2
9642,Clark St & Ida B Wells Dr,Michigan Ave & Oak St,2
9603,Clark St & Ida B Wells Dr,Clinton St & Madison St,2
9605,Clark St & Ida B Wells Dr,Cornell Ave & Hyde Park Blvd,2
48703,Walsh Park,DuSable Lake Shore Dr & Diversey Pkwy,2
9608,Clark St & Ida B Wells Dr,Dearborn St & Adams St,2
9610,Clark St & Ida B Wells Dr,Dearborn St & Monroe St,2
